Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallRayBrain,3.410,9.215,4.194,16166,-28.643
RollerBallRayBrain,3.660,16.749,3.570,17089,-30.079
RollerBallRayBrain,3.852,24.510,3.616,17475,-30.818
RollerBallRayBrain,3.608,32.013,3.593,16750,-30.839
RollerBallRayBrain,3.589,39.548,3.637,16988,-30.946
RollerBallRayBrain,3.637,47.095,3.618,17400,-31.151
RollerBallRayBrain,3.826,54.893,3.658,18060,-31.307
RollerBallRayBrain,3.606,62.430,3.622,17316,-31.546
RollerBallRayBrain,3.777,70.198,3.674,17982,-31.740
RollerBallRayBrain,3.777,77.890,3.609,17475,-31.798
RollerBallRayBrain,2.241,83.768,3.348,10660,-31.651
RollerBallRayBrain,2.231,86.770,0.717,10814,-31.447
RollerBallRayBrain,2.430,92.615,3.144,11482,-31.468
RollerBallRayBrain,2.227,96.415,1.444,10850,-31.487
RollerBallRayBrain,2.202,101.356,2.522,10276,-31.512
RollerBallRayBrain,2.221,106.356,2.565,10725,-31.511
RollerBallRayBrain,2.241,109.975,1.278,10656,-31.584
RollerBallRayBrain,2.451,115.740,3.067,11318,-31.570
RollerBallRayBrain,2.221,119.521,1.444,10656,-31.635
RollerBallRayBrain,2.231,124.516,2.565,10656,-31.695
RollerBallRayBrain,2.196,129.285,2.358,10379,-31.576
RollerBallRayBrain,2.221,133.114,1.480,10897,-31.591
RollerBallRayBrain,2.438,138.798,3.006,11421,-31.594
RollerBallRayBrain,2.223,142.587,1.460,10887,-31.606
RollerBallRayBrain,2.228,147.616,2.591,10428,-31.570
RollerBallRayBrain,2.223,152.398,2.362,10735,-31.384
RollerBallRayBrain,2.236,156.362,1.584,10656,-31.438
RollerBallRayBrain,2.217,161.493,2.687,10735,-31.217
RollerBallRayBrain,2.291,165.887,1.932,10813,-31.127
RollerBallRayBrain,2.237,170.389,2.091,10271,-31.045
RollerBallRayBrain,2.249,175.274,2.430,10782,-31.009
RollerBallRayBrain,2.228,179.291,1.658,10656,-31.065
RollerBallRayBrain,2.187,184.337,2.640,10427,-31.100
RollerBallRayBrain,2.226,188.349,1.646,10702,-31.013
RollerBallRayBrain,2.241,193.161,2.363,11072,-31.003
RollerBallRayBrain,2.210,197.645,2.099,10354,-30.900
RollerBallRayBrain,2.201,202.216,2.205,10477,-30.810
RollerBallRayBrain,2.218,206.771,2.164,10724,-30.824
RollerBallRayBrain,2.236,211.298,2.124,10636,-30.791
RollerBallRayBrain,2.199,215.912,2.231,10356,-30.781
RollerBallRayBrain,2.236,220.661,2.324,10613,-30.710
RollerBallRayBrain,2.209,224.983,1.955,10259,-30.697
RollerBallRayBrain,2.242,229.796,2.388,10798,-30.604
RollerBallRayBrain,2.233,234.321,2.096,10825,-30.591
RollerBallRayBrain,2.281,238.648,1.885,10704,-30.606
RollerBallRayBrain,2.250,243.511,2.413,10569,-30.543
RollerBallRayBrain,2.221,247.703,1.832,10587,-30.586
RollerBallRayBrain,2.219,252.737,2.588,10500,-30.489
RollerBallRayBrain,2.204,257.269,2.153,10372,-30.421
RollerBallRayBrain,2.248,261.711,2.019,10691,-30.437
RollerBallRayBrain,2.209,265.904,1.834,10518,-30.412
RollerBallRayBrain,2.236,270.783,2.447,10704,-30.335
RollerBallRayBrain,2.214,275.441,2.266,10621,-30.288
RollerBallRayBrain,2.220,279.926,2.081,10601,-30.239
RollerBallRayBrain,2.211,284.570,2.257,10550,-30.220
RollerBallRayBrain,2.226,288.599,1.665,10520,-30.085
RollerBallRayBrain,2.221,294.107,3.035,10807,-30.026
RollerBallRayBrain,2.222,297.574,1.156,10369,-30.031
RollerBallRayBrain,2.207,302.887,2.860,10256,-29.895
RollerBallRayBrain,2.215,307.040,1.793,10588,-29.859
RollerBallRayBrain,2.226,311.550,2.119,10848,-29.887
RollerBallRayBrain,2.235,316.384,2.391,10734,-29.730
RollerBallRayBrain,2.232,320.936,2.164,10601,-29.721
RollerBallRayBrain,2.236,325.535,2.200,10550,-29.638
RollerBallRayBrain,2.244,329.759,1.849,10491,-29.531
RollerBallRayBrain,2.239,334.481,2.288,10447,-29.449
RollerBallRayBrain,2.257,339.349,2.396,10302,-29.272
RollerBallRayBrain,2.233,344.026,2.267,10783,-29.075
RollerBallRayBrain,2.248,348.460,2.015,10809,-28.996
RollerBallRayBrain,2.223,353.152,2.290,10652,-28.958
RollerBallRayBrain,2.224,357.638,2.094,10281,-28.929
RollerBallRayBrain,2.230,362.098,2.064,10634,-28.869
RollerBallRayBrain,2.243,366.692,2.181,10875,-28.862
RollerBallRayBrain,2.200,371.441,2.350,10356,-28.755
RollerBallRayBrain,2.218,375.601,1.794,10526,-28.657
RollerBallRayBrain,2.212,380.341,2.350,10270,-28.534
RollerBallRayBrain,2.225,384.866,2.133,10652,-28.506
RollerBallRayBrain,2.192,389.330,2.091,10342,-28.393
RollerBallRayBrain,2.193,394.151,2.411,10308,-28.318
RollerBallRayBrain,2.233,398.313,1.782,10880,-28.209
RollerBallRayBrain,2.216,403.013,2.302,10815,-28.137
RollerBallRayBrain,2.206,407.395,2.013,10389,-28.017
RollerBallRayBrain,2.224,411.993,2.184,10647,-27.909
RollerBallRayBrain,2.214,416.784,2.383,10704,-27.857
RollerBallRayBrain,2.240,421.045,1.862,10830,-27.628
RollerBallRayBrain,2.209,425.833,2.387,10622,-27.400
RollerBallRayBrain,2.205,430.622,2.377,10297,-27.250
RollerBallRayBrain,2.223,435.166,2.133,10646,-27.209
